attack,detected,accepted
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
none,0,1
substitution,1,0
timestamp_forgery,1,0
identity_substitution,1,0
replay,1,0
